Title,Series_Title,Issue_Number,Image_url,Condition,Grade,Publisher,Publication_Year,Format,Tradition,Features,Era,Type,Genre,Character,Series,Universe,Sale_Price,Sell_Method,Num_of_Bids,Shipping_Price,Time_of_Sale,Sellers_Location,Sellers_Handle,Sellers_Feedback_Score
Astonishing X-Men/Amazing Spider-Man Sketchbook #1 in VF +. Marvel comics [c;,Astonishing X-Men/Amazing Spider-Man Sketchbook,#1,https://i.ebayimg.com/images/g/6CkAAOSwx6RjiY34/s-l500.jpg,Acceptable,8.5,Marvel,,,US Comics,,Modern Modern Age (1993-now),Comic Book,Superheroes,Astonishing X-Men,,Marvel Universe,US $2.64,buy_it_now,,$5.99,"Dec 03, 2022","Norristown, Pennsylvania, United States",newkadia,34219
Amazing Spider-Man # 147 The Tarantula 1975 (with Marvel Value Stamp) Marvel,"Amazing Spider-Man, The",147,https://i.ebayimg.com/images/g/-PIAAOSwmmVjgeVW/s-l500.jpg,Very Good,6.0 FN,Marvel Comics,1975,,US Comics,,Bronze Age (1970-83),Comic Book,Superheroes,Spider-Man,,,US $13.50,highest_bidder,16,$5.50,"Dec 03, 2022","Las Vegas, Nevada, United States",algarcia54,199
Cover of Darkness #1-5 & Origins One Shot Lot NM/MT,Spider-Man,1,https://i.ebayimg.com/images/g/7V0AAOSwoNxjhXGj/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $5.00,highest_bidder,1,$4.50,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
Amazing Spider-man Volume 2 #26 NM [Marvel 2001] Green Goblin appearance,Amazing Spider-Man,26,https://i.ebayimg.com/images/g/y-MAAOSwiUBi2b05/s-l500.jpg,Brand New,9.4 Near Mint,Marvel Comics,2000,Single Issue,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man (Peter Parker),,,US $7.99,buy_it_now,,$4.95,"Dec 03, 2022","Salem, Massachusetts, United States",cfusco,2260
"Marvel Comics ""Amazing Spider-Man"" Lot Of 7 NM Perfect! 1993 GREAT ISSUES!!!",Amazing Spider-Man,"389,391,393,395,396,399,403",https://i.ebayimg.com/images/g/CA4AAOSwEAtji-W7/s-l500.jpg,Like New,9.4 Near Mint,Marvel Comics,1993,,US Comics,,Modern Age (1992-Now),Comic Book,"Superheroes, Action, Adventure","Carnage, Spider-Man (Peter Parker), Venom",,,US $24.99,buy_it_now,,$2.16,"Dec 03, 2022","Metamora, Illinois, United States",wrcwra-vw5kle7ks,1418
"Marvel Team Up #131 1st Appearance Of White Rabbit (Marvel, Jul 1983)",Marvel Team-Up,131,https://i.ebayimg.com/images/g/HF8AAOSwS7Vjf5iL/s-l500.jpg,Very Good,,Marvel Comics,1983,Single Issue,US Comics,Key Issue,Bronze Age (1970-83),Comic Book,"Superheroes, Action, Adventure","Frog-Man, Spider-Man (Peter Parker)",,Marvel (MCU),US $24.96,buy_it_now,,$6.95,"Dec 03, 2022","Mankato, Minnesota, United States",ironcomics,435
Marvel Tales 1976 #67 Black Widow Appearance! Retelling of Amazing SpiderMan 86,Marvel Tales,67,https://i.ebayimg.com/images/g/p0QAAOSw3c1jRt5c/s-l500.jpg,Very Good,,Marvel Comics,1976,Single Issue,US Comics,"Boarded, Variant Cover",Bronze Age (1970-83),Comic Book,Superheroes,"Spider-Man, Black Widow",,Marvel (MCU),US $12.00,buy_it_now,,$4.50,"Dec 03, 2022","Decatur, Alabama, United States",paisleyponies,164
AMAZING SPIDER-MAN #9 PASCUAL FERRY B/W EXCLUSIVE SPIDERMAN 1,Invincible,1,https://i.ebayimg.com/images/g/kKQAAOSwEkljhXHJ/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Power Rangers,US $12.00,highest_bidder,6,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
,Immortal X-Men,2,,,,Marvel Comics,2022,Single Issue,US Comics,"1st Edition, Variant Cover",Modern Age (1992-Now),Comic Book,Superheroes,,,Marvel (MCU),,,,,,,,
EDGE OF SPIDER-VERSE #4 PEACH MOMOKO VIRGIN NYCC EXCLUSIVE SPIDER-MAN 1,Invincible,1,https://i.ebayimg.com/images/g/KAMAAOSwIxljfDSC/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $20.50,highest_bidder,6,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
Amazing Spider-Man #359 CGC 9.8 1992 4103077006,Amazing Spider-Man,359,https://i.ebayimg.com/images/g/kMoAAOSwuctjcE-X/s-l500.jpg,--,9.8 Near Mint/Mint,Marvel,1992,,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man,,,US $88.00,buy_it_now,,$6.60,"Dec 03, 2022","Arlington, Texas, United States",mycomicshop,464668
THE SPECTACULAR SPIDER-MAN 244 Marvel 1st Full Alexei Alyosha Kravinoff KRAVEN,The Spectacular Spider-Man,244,https://i.ebayimg.com/images/g/1acAAOSwWkljZweW/s-l500.jpg,Like New,,Marvel Comics,1997,Single Issue,US Comics,"1st Print, Key Issue",Modern Age (1992-Now),Comic Book,"Superhero, Action, Action/Adventure, Superheroes","Chameleon, Jack O'Lantern, Mary Jane Watson, Kraven the Hunter, Spider-Man, Kangaroo",,Marvel (MCU),US $9.99,best_offer_accepted,,$5.50,"Dec 03, 2022","Lemoyne, Pennsylvania, United States",funkyfindsandgrinds,655
AMAZING SPIDER-MAN #252 CGC 9.0 WHITE PAGES BLACK SUIT 1ST APP NEWSSTAND 1984,Amazing Spider-Man,,https://i.ebayimg.com/images/g/4Q4AAOSwu8FjbuUB/s-l500.jpg,--,,Marvel,1984,,US Comics,,Bronze Age (1970-83),,,,,,US $300.00,buy_it_now,,$8.82,"Dec 03, 2022","Yulee, Florida, United States",foosedaddy23,1215
Vanish #1-3 Lot NM/MT Image Comics,Spider-Man,1,https://i.ebayimg.com/images/g/33QAAOSwEu1jhXCv/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $0.99,highest_bidder,1,$3.75,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
"The Amazing Spider-Man #24 (465) (2000, Marvel) FN Vol 2 Maximum Security",Amazing Spider-Man,24,https://i.ebayimg.com/images/g/qMcAAOSwWbRjYIQf/s-l500.jpg,--,6.0 Fine,Marvel Comics,2000,Single Issue,US Comics,,Modern Age (1992-Now),Comic Book,Superheroes,Spider-Man (Peter Parker),,Marvel (MCU),US $1.79,buy_it_now,,$5.99,"Dec 03, 2022","Dearborn, Michigan, United States",dtowncomics,15074
Amazing Spider-man Vol 2 #27 Romita Cover Black Cat Mr. P & Q 1st Print Marvel,,27,https://i.ebayimg.com/images/g/i6QAAOSwR7Bh6evm/s-l500.jpg,--,8.5 Very Fine+,Marvel Comics,2001,,US Comics,,Modern Age (1992-Now),,Superheroes,"Peter Parker, Spider-Man, Black Cat, Mr. P, Mr. Q",Amazing Spider-Man,Marvel (MCU),US $15.99,buy_it_now,,,"Dec 03, 2022","Milwaukee, Wisconsin, United States",zetmke23,4525
Amazing Spider-Man Annual #20 (1986) Arno-Stark CGC 9.0 White Pages T954,,,https://i.ebayimg.com/images/g/220AAOSwhx9jTpNI/s-l500.jpg,--,,Marvel Comics,,,,,,,,,,,US $29.95,buy_it_now,,$10.80,"Dec 03, 2022","Byron, Michigan, United States",jaybird8325,32074
Amazing Spiderman Comic Lot (17) Hulk Carnage More,Amazing Spider-Man,,https://i.ebayimg.com/images/g/5EkAAOSwHDhjg5uP/s-l500.jpg,Good,,Amazing Comics,,,US Comics,,,,,Carnage,,,US $30.00,buy_it_now,,$5.95,"Dec 03, 2022","Greenville, South Carolina, United States",rodwe38,989
The Flash #787-788 Lot NM/MT,Spider-Man,1,https://i.ebayimg.com/images/g/Lz0AAOSw3Qhjgs-a/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $1.25,highest_bidder,2,$3.75,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
AMAZING SPIDER-MAN #4 WHITE PAGES 1ST APPEARANCE OF SILK 2014  9.8,Amazing Spider-Man,4,https://i.ebayimg.com/images/g/uXoAAOSw25pjUKZ1/s-l500.png,Brand New,,,2014,,US Comics,,,,,Silk,,,US $200.00,highest_bidder,1,$17.75,"Dec 03, 2022","Ridgefield, Washington, United States",jamemckinne_84,498
Superman vs. The Amazing Spider-Man GD/VG 3.0,All New Collectors Edition,,https://i.ebayimg.com/images/g/NFUAAOSwSYpjcR8Q/s-l500.jpg,--,3.0 Good/Very Good,DC Comics,1978,,US Comics,,Bronze Age (1970-83),,Superheroes,"Spider-Man (Peter Parker), Superman",,DC Universe,US $49.99,buy_it_now,,$4.50,"Dec 03, 2022","Ballwin, Missouri, United States",mcduck56,4979
AMAZING FANTASY #1000 PEACH MOMOKO VIRGIN EXCLUSIVE SPIDER-MAN 1,Invincible,1,https://i.ebayimg.com/images/g/G-sAAOSwkk1jhXMD/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Power Rangers,US $13.49,highest_bidder,9,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
Amazing Spider-Man #375 CGC 9.4 Graded Comic 30th Anniversary,Amazing Spider-Man,,https://i.ebayimg.com/images/g/ppUAAOSwjmNjilJe/s-l500.jpg,Like New,9.4 Near Mint,Amazing Comics,1993,,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man (Peter Parker),,,C $106.25,buy_it_now,,FREE,"Dec 03, 2022","Toronto, ON, Canada",myflipshop,2909
The Amazing Spider-Man #10-14 & 2021 FCBD Spider-Man/Ven,Spider-Man,1,https://i.ebayimg.com/images/g/dzQAAOSwejhjhXJa/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $12.62,highest_bidder,7,$4.25,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
Detective Comics #1059-1066 Lot NM/MT,Spider-Man,1,https://i.ebayimg.com/images/g/VkQAAOSw4ixjhXLg/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $26.00,highest_bidder,7,$4.50,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
The New Champion of Shazam! #1-3 Lot NM/MT,Spider-Man,1,https://i.ebayimg.com/images/g/HaQAAOSwChJjgtAa/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $2.25,highest_bidder,4,$4.00,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
Various Spiderman Comics 1991 1999 Mixed Lot of 21 books issues,Spider-Man,,https://i.ebayimg.com/images/g/oDEAAOSwwX1jgtAy/s-l500.jpg,Good,,,1991,,US Comics,,,Comic Book,,,,,US $12.00,highest_bidder,3,$4.83,"Dec 03, 2022","Rossville, Kansas, United States",cookiecorycupcake,1606
Year Zero Volume Zero #1-2 Lot NM/MT AWA Upshot,Spider-Man,1,https://i.ebayimg.com/images/g/vnsAAOSwejhjgtCR/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $0.99,highest_bidder,1,$3.75,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
Spider-Man #1 CGC 9.8 Torment Todd McFarlane Lizard Custom Label Key Silver Ed.,Spider-Man,1,https://i.ebayimg.com/images/g/ozYAAOSwq25jRGo4/s-l500.jpg,Like New,9.8 Near Mint/Mint,Marvel Comics,1990,Single Issue,US Comics,,Modern Age (1992-Now),,Superheroes,"Spider-Man, Lizard",,Marvel (MCU),US $104.99,buy_it_now,,$17.05,"Dec 03, 2022","Prather, California, United States",mountaintop_cards,367
Spidey Super Stories Issue #9 Marvel comic series from 1975,spidy Super Stories,,https://i.ebayimg.com/images/g/OwcAAOSw1qNjYo8X/s-l500.jpg,Acceptable,,Marvel Comics,1975,,US Comics,,,,,spiderman,,,US $3.00,buy_it_now,,$3.49,"Dec 03, 2022","Saint Charles, Missouri, United States",cmc7w2,856
Spectacular Spider-Man lot of 12 comics - range is #144-205 not complete run,Spectacular Spider-Man,144,https://i.ebayimg.com/images/g/zgoAAOSwENhjcmOh/s-l500.png,Acceptable,,Marvel Comics,1988,Softcover,US Comics,,Copper Age (1984-1991),,Superheroes,Spider-Man (Peter Parker),,,US $4.99,highest_bidder,1,$10.00,"Dec 03, 2022","Columbus, Ohio, United States",aadmjd,4085
Punchline The Gotham Game #1-2 Lot NM/MT,Spider-Man,1,https://i.ebayimg.com/images/g/MqwAAOSwKvFjhXOI/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $1.25,highest_bidder,2,$3.75,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
The Spectacular Spider-Man #95 MARVEL COMICS 1984 VINTAGE Story/Layout-M,,95,https://i.ebayimg.com/images/g/vysAAOSwbMBiVjJw/s-l500.jpg,--,,Marvel Comics,1984,Single Issue,US Comics,Boarded,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,Spectacular Spider-Man,,US $3.99,buy_it_now,,$3.49,"Dec 03, 2022","Las Cruces, New Mexico, United States",phishook0522,1736
Spider-man Classics Marvel ALMOST complete comic series from the 1990s,Spider-Man Classics,2,https://i.ebayimg.com/images/g/8XAAAOSwv4djYo4o/s-l500.jpg,Very Good,,Marvel Comics,1993,,US Comics,,,,,spiderman,,,US $25.00,buy_it_now,,$4.16,"Dec 03, 2022","Saint Charles, Missouri, United States",cmc7w2,856
X-Men #15-17 Lot NM/MT,Spider-Man,1,https://i.ebayimg.com/images/g/yK0AAOSwkWVjhXQn/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $3.25,highest_bidder,2,$3.75,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
Marvel Two-In-One Annual # 2 Death of Thanos ~ Warlock  Avengers 1977 Spider-Man,Marvel Two-in-One,2,https://i.ebayimg.com/images/g/OfUAAOSw0x1jeEUD/s-l500.jpg,Very Good,,Marvel Comics,1977,Single Issue,US Comics,"Character Crossover, Newsstand Edition, Character Death, First Printing, Annual, Double Edition, First Character Appearance",Bronze Age (1970-83),Comic Book,"Action/Adventure, Action, Adventure, Superheroes","Captain America, Thor, Lord Chaos, Master Order, Beast, Captain Marvel (Mar-Vell), Iron Man (Tony Stark), Moondragon, Scarlet Witch, Spider-Man (Peter Parker), Thanos, The Thing, Vision, Warlock",,"Marvel (MCU), Avengers",US $15.50,highest_bidder,2,$5.50,"Dec 03, 2022","Livingston, Tennessee, United States",comix-r-my-thing,7697
Shock Shop #1-3 Lot NM/MT Dark Horse Comics,Spider-Man,1,https://i.ebayimg.com/images/g/7soAAOSwoQJjgtEd/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $0.99,highest_bidder,1,$4.00,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
Amazing Spider-Man #1 (#895) Baldari TFAW Edition - CGC 9.8 - Only 2 in Pop!!,Amazing Spider-Man,1,https://i.ebayimg.com/images/g/3AoAAOSwVTBjL6G4/s-l500.jpg,Brand New,9.8 Near Mint/Mint,Marvel Comics,2022,Single Issue,,First Printing,Modern Age (1992-Now),Comic Book,,Spider-Man (Peter Parker),,,US $101.99,buy_it_now,,$10.99,"Dec 03, 2022","Highland, California, United States",brpo_494089,174
Ultimate Fallout 4 Facsimile Edition 1st Miles Morales CGC 9.6 SPIDERMAN KEY 2,Spider-Man,1,https://i.ebayimg.com/images/g/ma4AAOSwhjpiiHkc/s-l500.jpg,--,,DC Comics,,,US Comics,1st Edition,Modern Age (1992-Now),,Superheroes,"Batman, Monica Rambeau, Red Hood",Mighty Avengers,,US $19.99,highest_bidder,1,$17.00,"Dec 03, 2022","Venice, California, United States",comicsandmore16,3528
Nocterra #7-11 & Blacktop Bill Special Lot NM/MT Image Comics,Spider-Man,1,https://i.ebayimg.com/images/g/6L8AAOSwsM1jgtGD/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $6.00,highest_bidder,1,$4.50,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
Daredevil #1-5 Lot NM/MT,Spider-Man,1,https://i.ebayimg.com/images/g/XlYAAOSwHyNjhXTv/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $12.50,highest_bidder,10,$4.00,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
PETER PARKER THE SPECTACULAR SPIDER-MAN #1 HIP HOP VARIANT TUPAC ALL EYES ON ME,The Spectacular Spider-Man,1,https://i.ebayimg.com/images/g/uskAAOSwlPRjh87d/s-l500.jpg,--,7.0 Fine/Very Fine,Marvel,2017,Single Issue,US Comics,"1st Edition, Boarded, HIP HOP VARIANT",Modern Age (1992-Now),HIP HOP VARIANT,Superheroes,SPIDER MAN,,Marvel (MCU),US $30.00,buy_it_now,,$6.00,"Dec 03, 2022","Orlando, Florida, United States",dbzgt999,128
"Amazing Spider-Man #156 - 1st Appearance of Mirage (Marvel, 1976)",Amazing Spider-Man,,https://i.ebayimg.com/images/g/v9UAAOSwNzxjgeqm/s-l500.jpg,Very Good,,Marvel,1976,,US Comics,,,,,Spider-Man,,,US $8.10,highest_bidder,6,$5.50,"Dec 03, 2022","Las Vegas, Nevada, United States",algarcia54,199
,,,,,,"Marvel Worldwide, Incorporated",2014,Trade Paperback,,,,,Comics & Graphic Novels,,,,,,,,,,,
"Spider-Man #13 (1991, Marvel Comics) 9.0 Very Fine/Near Mint | Black costume",Spider-Man,13,https://i.ebayimg.com/images/g/eNsAAOSwVM1jIdC2/s-l500.jpg,--,9.0 Very Fine/Near Mint,Marvel Comics,1990,Single Issue,US Comics,Bagged and Boarded,Copper Age (1984-1991),Comic Book,Superheroes,Spider-Man,,Marvel (MCU),C $28.00,best_offer_accepted,,C $8.00,"Dec 03, 2022","Montreal, Canada",mndwrp1999,603
,Spider-Man,,,,8.0 Very Fine,Marvel Comics,1991,,,,Copper Age (1984-1991),,,Spider-Man (Peter Parker),,,,,,,,,,
Infinity Gauntlet 1🔥CGC 9.6🔥SS SIGNED Starlin🔥CUSTO,The Infinity Gauntlet,1,https://i.ebayimg.com/images/g/2QcAAOSwyIVi9CZb/s-l500.jpg,--,9.6 Near Mint+,Marvel Comics,1991,Single Issue,US Comics,"First Printing, 1st Edition, Key Issue",Copper Age (1984-1991),Comic Book,Superheroes,"Captain America (Steve Rogers), Captain Marvel (Carol Danvers), Doctor Strange, Silver Surfer, Thanos, Wolverine (Logan), Spider Man",,Marvel (MCU),US $395.00,buy_it_now,,$20.00,"Dec 03, 2022","Bloomfield Hills, Michigan, United States",grendel242,482
,,,,,,,,,US Comics,,,,,,,,,,,,,,,
Vanish #1-3 Lot NM/MT Image Comics,Spider-Man,1,https://i.ebayimg.com/images/g/33QAAOSwEu1jhXCv/s-l500.jpg,--,,Marvel,2021,,US Comics,Complete Series,,,War,Devil,,,US $0.99,highest_bidder,1,$3.75,"Dec 03, 2022","Independence, Missouri, United States",pujolsroy5,12280
AMAZING SPIDER-MAN #252 CGC 9.0 WHITE PAGES BLACK SUIT 1ST APP NEWSSTAND 1984,Amazing Spider-Man,,https://i.ebayimg.com/images/g/4Q4AAOSwu8FjbuUB/s-l500.jpg,--,,Marvel,1984,,US Comics,,Bronze Age (1970-83),,,,,,US $300.00,buy_it_now,,$8.82,"Dec 03, 2022","Yulee, Florida, United States",foosedaddy23,1215
,Mary Jane & Black Cat,1,,,NM,Marvel,2022,Single Issue,US Comics,Variant Cover,Modern Age (1992-Now),Incentive Variant,Superheroes,"Spider-Man (Peter Parker), Mary Jane Watson, Black Cat (Felicia Hardy)",,Marvel (MCU),,,,,,,,
"LOT OF 8 MARVEL TEAM-UP SPIDER-MAN #51 IRON MAN 92, 116, 119, 121, 122, 125, 127",Marvel Team-Up,15,https://i.ebayimg.com/images/g/mY0AAOSw8zNjgtMT/s-l500.jpg,Very Good,,Marvel Comics,,,US Comics,,Bronze Age (1970-83),,,Spider-Man (Peter Parker),,,US $6.00,highest_bidder,1,$9.90,"Dec 03, 2022","Battle Ground, Washington, United States",truckmania,1165
Savage Spider-Man (2022) #1 Rahzzah 1 In 50 CBCS 9.8 Blue Label White Pages ,Spider-Man,1,https://i.ebayimg.com/images/g/wNIAAOSwJ9lizxZu/s-l500.jpg,Brand New,9.8 Near Mint/Mint,Marvel Comics,2022,Softcover,US Comics,Collector's Edition,Modern Age (1992-Now),Comic Book,Superheroes,Spider-Man (Peter Parker),,,US $36.00,highest_bidder,2,$14.70,"Dec 03, 2022","Duncanville, Texas, United States",andymac2570,33899
VENOM THE MACE #3 CGC 9.8 1994 SUNRISE SOCIETY APP SPIDERMAN MARVEL ,Spider-Man,3,https://i.ebayimg.com/images/g/3lAAAOSwYm9jgP8n/s-l500.jpg,Brand New,,Marvel Comics,1994,,US Comics,,,,,Venom,,,US $36.00,highest_bidder,12,$4.25,"Dec 03, 2022","Mount Sinai, New York, United States",fazzyfaz,4633
Amazing Spider-Man 511 CGC Graded Sins Past Marvel Comics Hot Only 1 on Ebay Key,Amazing Spider-Man,1,https://i.ebayimg.com/images/g/jkMAAOSw6-5iiHxH/s-l500.jpg,--,9.6 Near Mint+,Marvel Comics,,,US Comics,,Modern Age (1992-Now),,Superheroes,Spider-Man,Amazing Spider-Man,,US $24.50,highest_bidder,3,$17.00,"Dec 03, 2022","Venice, California, United States",comicsandmore16,3528
Amazing Spider-Man #359 CGC 9.8 1992 4103077006,Amazing Spider-Man,359,https://i.ebayimg.com/images/g/kMoAAOSwuctjcE-X/s-l500.jpg,--,9.8 Near Mint/Mint,Marvel,1992,,US Comics,,Modern Age (1992-Now),Comic Book,,Spider-Man,,,US $88.00,buy_it_now,,$6.60,"Dec 03, 2022","Arlington, Texas, United States",mycomicshop,464668
AMAZING SPIDER-MAN #6 TYLER KIRKHAM VIRGIN NYCC EXCLUSIVE SPIDERMAN 1,Invincible,1,https://i.ebayimg.com/images/g/BPIAAOSwMj5jfDcy/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $19.50,highest_bidder,12,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #21 MIKE MAYHEW VIRGIN EXCLUSIVE SPIDERMAN SPIDER-WOMAN 1,Invincible,1,https://i.ebayimg.com/images/g/mTwAAOSws8xjfDi8/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $6.51,highest_bidder,8,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #30 SHANNON MAYER VIRGIN EXCLUSIVE SPIDERMAN 1,Invincible,1,https://i.ebayimg.com/images/g/TH0AAOSwRgRjfDmO/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,,US $16.00,highest_bidder,13,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #797 CLAYTON CRAIN VIRGIN B EXCLUSIVE SPIDERMAN RED GOBLIN 1,Invincible,1,https://i.ebayimg.com/images/g/IGkAAOSwg7JjfDtd/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $10.50,highest_bidder,6,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #19 LUCIO PARRILLO VIRGIN  EXCLUSIVE SPIDERMAN KRAVEN 1,Invincible,1,https://i.ebayimg.com/images/g/STYAAOSwd4BjfDhL/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $8.50,highest_bidder,5,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #29 MATTINA VIRGIN B EXCLUSIVE SPIDERMAN MARY JANE 1,Invincible,1,https://i.ebayimg.com/images/g/sYsAAOSwDJ1jfDk-/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $9.50,highest_bidder,7,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #22 LUCIO PARRILLO VIRGIN EXCLUSIVE SPIDERMAN MARY JANE 1,Invincible,1,https://i.ebayimg.com/images/g/3FoAAOSw1rxjfDjd/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $11.50,highest_bidder,3,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #1  DELL OTTO EXCLUSIVE SPIDERMAN 1,Invincible,1,https://i.ebayimg.com/images/g/LNgAAOSwS1ZjfDpE/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,,US $3.25,highest_bidder,4,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #49 RON LIM HOMAGE EXCLUSIVE 300 SPIDERMAN 1,Invincible,1,https://i.ebayimg.com/images/g/Q4wAAOSw~DJjfDnk/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $6.90,highest_bidder,6,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #796 CLAYTON CRAIN VIRGIN B EXCLUSIVE SPIDERMAN RED GOBLIN 1,Invincible,1,https://i.ebayimg.com/images/g/2mUAAOSwSMdjfDsg/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $9.06,highest_bidder,6,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #29 MATTINA VENOMIZED B  EXCLUSIVE SPIDER-MAN  MARY JANE 1,Invincible,1,https://i.ebayimg.com/images/g/SIkAAOSw66tjftzx/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $11.50,highest_bidder,5,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #6 TYLER KIRKHAM VIRGIN EXCLUSIVE SPIDERMAN 1,Invincible,1,https://i.ebayimg.com/images/g/C3YAAOSwT5tjfDcN/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,2022,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,Star Wars,US $13.50,highest_bidder,11,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
AMAZING SPIDER-MAN #797 DELL OTTO VIRGIN EXCLUSIVE SPIDERMAN 1,Invincible,1,https://i.ebayimg.com/images/g/g3MAAOSw5sZjfDrd/s-l500.jpg,--,9.4 NM,Dynamite Entertainment,,Softcover,US Comics,First Printing,,Virgin Variant,Vampire,Vampirella,,,US $9.06,highest_bidder,7,$6.00,"Dec 03, 2022","Bronx, New York, United States",nata_willi,4950
